"","title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","unclear_address","status","unique.id"
"1","","803/829-1781","","Erotica","","Bowman","SC",2003,"","",33.34877,-80.682871,"","","Location could not be verified. General city or location coordinates used.","d-2003-01454"
"2","","St Stephen's Episcopal on Anson St (btwn Society & George)  843/762-2433, 843/723-9633 (AA#)  8pm Tue & 6:30pm Sat","","Info Lines & Services","","Charleston","SC",2003,"","",32.784948,-79.931185,"","","Verified Location","d-2003-01455"
"3","","Mary St (at King)  843/577-2582  9pm-2am","","Nightclubs","(M-1996-2005),(D-1965-2003),(S-2003-2005),(V-1986-2005),(18+-1994-2003),(YC-1969-2005),(GO-2000-2003)","Charleston","SC",2003,"","",32.790639,-79.939672,"","","Verified Location","d-2003-01456"
"4","","western tip of island (make right at the island's only traffic light & drive all the way to county park)","","Cruising Areas","(AYOR-1977-2005)","Charleston","SC",2003,"","",32.65518,-79.940367,"","","Verified Location","d-2003-01457"
"5","","843/720-8088","","Info Lines & Services","","Charleston","SC",2003,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-2003-01458"
"6","","704/531-9988  biweekly lgbt newspaper for the Carolinas","","Publications","","Charleston","SC",2003,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-2003-01459"
"7","","843/722-2764  2-week avant-garde art festival in late May-early June","","Entertainment & Recreation","","Charleston","SC",2003,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-2003-01460"
"8","","White Point Garden ","","Cruising Areas","(AYOR-1977-2005)","Charleston","SC",2003,"","",32.769936,-79.930361,"","","Verified Location","d-2003-01461"
"9","","843/853-5995  The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Men's Services","","Charleston","SC",2003,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-2003-01462"
"10","","919/829-0181  lgbt newspaper for the Carolinas","","Publications","","Charleston","SC",2003,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-2003-01463"
"11","","843/571-6942  Charleston's gay newspaper","","Publications","","Charleston","SC",2003,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-2003-01464"
"12","","pier & promenade","","Cruising Areas","(AYOR-1977-2005)","Charleston","SC",2003,"","",32.778966,-79.925546,"","","Verified Location","d-2003-01465"
"13","","","","Cruising Areas","(AYOR-1977-2005)","Columbia","SC",2003,"","",34.053204,-81.217875,"","","Verified Location","d-2003-01466"
"14","","800/289-1489  Call for the local # nearest you! FREE to Record, Browse & Respond to voice ads. Use code 5051.","","Men's Services","","Columbia","SC",2003,"","",34.00071,-81.034814,"","","Location could not be verified. General city or location coordinates used.","d-2003-01467"
"15","","near the university","","Cruising Areas","(AYOR-1977-2005)","Columbia","SC",2003,"","",34.000483,-81.0308,"","","Verified Location","d-2003-01468"
"16","","803/255-0035  The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Men's Services","","Columbia","SC",2003,"","",34.00071,-81.034814,"","","Location could not be verified. General city or location coordinates used.","d-2003-01469"
"17","","","","Cruising Areas","(AYOR-1977-2005)","Florence","SC",2003,"","",34.173651,-79.792304,"","","Verified Location","d-2003-01470"
"18","","","","Cruising Areas","(AYOR-1977-2005)","Florence","SC",2003,"","",34.185242,-79.770835,"","","Verified Location","d-2003-01471"
"19","","864/421-0400  Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to Record, Browse & Respond to voice ads. Use code 5051","","Men's Services","","Greenville","SC",2003,"","",34.852618,-82.39401,"","","Location could not be verified. General city or location coordinates used.","d-2003-01472"
"20","","864/370-2218  The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Men's Services","","Greenville","SC",2003,"","",34.852618,-82.39401,"","","Location could not be verified. General city or location coordinates used.","d-2003-01473"
"21","","S of the Holiday Inn (at the end of Pope Ave)","","Cruising Areas","(AYOR-1977-2005)","Hilton Head","SC",2003,"","",32.141562,-80.751062,"","","Verified Location","d-2003-01474"
"22","","Hwy 278 days","","Cruising Areas","(AYOR-1977-2005)","Hilton Head","SC",2003,"","",32.228939,-80.785657,"","","Location could not be verified. General city or location coordinates used.","d-2003-01475"
"23","","","","Cruising Areas","(AYOR-1977-2005)","Myrtle Beach","SC",2003,"","",33.746985,-78.808642,"","","Location could not be verified. General city or location coordinates used.","d-2003-01476"
"24","","Hwy 17 S Mon-Fri","","Cruising Areas","(AYOR-1977-2005)","Myrtle Beach","SC",2003,"","",33.514562,-79.060929,"","","Verified Location","d-2003-01477"
"25","","at 21st Ave S (south end)","","Cruising Areas","(AYOR-1977-2005)","Myrtle Beach","SC",2003,"","",33.669836,-78.904645,"","","Verified Location","d-2003-01478"
"26","","off I-85  days","","Cruising Areas","(AYOR-1977-2005)","Spartanburg","SC",2003,"","",34.988011,-81.954845,"","","Verified Location","d-2003-01479"
"27","","919/829-0181  lgbt newspaper for the Carolinas","","Publications","","Statewide","SC",2003,"","",33.836081,-81.163724,"","","Location could not be verified. General city or location coordinates used.","d-2003-01480"
"28","","727/526-0585  bi-weekly magazine for gay men","","Publications","","Statewide","SC",2003,"","",33.836081,-81.163724,"","","Location could not be verified. General city or location coordinates used.","d-2003-01481"
"29","Marlboro Station","803/644-6485  8pm-5am, till 3am Sat, clsd Mon-Tue","141 Marlboro St","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005),(18+-1994-2003)","Aiken","SC",2003,"","141 Marlboro St, Aiken, SC",33.5554601,-81.7078698,"141 marlboro st se, aiken, sc 29801, usa","","","d-2003-01843"
"30","The Cove II lounge & Club","(1/2 mile N of Wal-Mart)  864/224-9050  8pm-2am, from 6pm Sun, clsd Mon-Tue, patio","818 Hwy 28 Bypass S","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005),(PC-1990-2005),(WC-1994-2005)","Anderson","SC",2003,"","818 Hwy 28 Bypass S, Anderson, SC",34.495182,-82.6782252,"818 hwy 28 bypass, anderson, sc 29624, usa","","","d-2003-01940"
"31","1854 B&B","843/723-4789  in the historic district","34 Montagu St","Accommodations","(MW-1990-2003),(GO-2000-2003)","Charleston","SC",2003,"","34 Montagu St, Charleston, SC",32.7813319,-79.9406065,"34 montagu st, charleston, sc 29401, usa","","","d-2003-02590"
