ID Number,First Name,Last Name,Settlement,Parish,Presbytery,PresbyteryID,County,Country,Year,Characterizations
1,Agnes ,Mullikine,Unknown,Dunfermline,Dunfermline,1,Fife,Scotland,1563,unknown
2,William,Stewart,Unknown,St. Andrews,St. Andrews,2,Fife,Scotland,1569,Treason
3,Unknown,Neville,Unknown,Unknown,St. Andrews,2,Fife,Scotland,1569,unknown
4,Mariorye,Smytht,Unknown,St. Andrews,St. Andrews,2,Fife,Scotland,1576,unknown
5,Bessy,Robertsoune,Unknown,St. Andrews,St. Andrews,2,Fife,Scotland,1581,unknown
6,Alesoun,Pierson,Byrehill,Unknown,Unknown,3,Fife,Scotland,1588,"Healing, Maleficium"
7,Euphame,Lochoir,Unknown,Crail,St. Andrews,2,Fife,Scotland,1590,unknown
8,Nans,Murit,Unknown,Abdie,Cupar,4,Fife,Scotland,1590,unknown
9,Janot,Loquhour,Unknown,Pittenweem,St. Andrews,2,Fife,Scotland,1595,unknown
10,Elspot,Gilchrist,Unknown,St. Andrews,St. Andrews,2,Fife,Scotland,1595,unknown
...
